FIPS,State,District,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Census Region,Census Division,FNS Region
614,CA,"Congressional District 14 (116th Congress), California",2019,7.3%,"54,240",14%,12%,5%,200%,48%,52%,4.6%,"6,230",85%,15%,West,Pacific,Western
614,CA,"Congressional District 14, California",2020,6.0%,"45,260",14%,13%,3%,200%,59%,41%,4.1%,"5,950",96%,5%,West,Pacific,Western
614,CA,"Congressional District 14, California",2021,8.6%,"61,760",12%,10%,3%,200%,39%,62%,6.7%,"9,270",57%,43%,West,Pacific,Western
614,CA,"Congressional District 14 (118th Congress), California",2022,9.9%,"72,810",20%,15%,6%,200%,41%,59%,10.6%,"15,910",54%,46%,West,Pacific,Western
614,CA,"Congressional District 14 (118th Congress), California",2023,10.7%,"77,910",23%,16%,7%,200%,43%,57%,12.2%,"19,340",44%,56%,West,Pacific,Western
615,CA,"Congressional District 15 (116th Congress), California",2019,6.6%,"51,940",14%,11%,4%,200%,42%,58%,5.9%,"10,490",54%,46%,West,Pacific,Western
615,CA,"Congressional District 15, California",2020,5.4%,"42,800",16%,12%,3%,200%,54%,46%,4.3%,"7,680",82%,18%,West,Pacific,Western
615,CA,"Congressional District 15, California",2021,6.8%,"52,970",14%,9%,3%,200%,40%,61%,5.3%,"9,210",62%,38%,West,Pacific,Western
615,CA,"Congressional District 15 (118th Congress), California",2022,10.2%,"73,060",17%,16%,6%,200%,39%,61%,9.6%,"13,140",60%,40%,West,Pacific,Western
615,CA,"Congressional District 15 (118th Congress), California",2023,11.1%,"79,990",20%,17%,7%,200%,46%,54%,10.7%,"14,520",54%,46%,West,Pacific,Western
616,CA,"Congressional District 16 (116th Congress), California",2019,16.4%,"123,710",30%,19%,12%,200%,94%,6%,25.2%,"56,220",79%,21%,West,Pacific,Western
616,CA,"Congressional District 16, California",2020,15.5%,"114,200",29%,20%,10%,200%,91%,9%,24.8%,"54,280",87%,13%,West,Pacific,Western
616,CA,"Congressional District 16, California",2021,17.2%,"129,090",28%,18%,11%,200%,73%,27%,23.7%,"52,700",75%,25%,West,Pacific,Western
616,CA,"Congressional District 16 (118th Congress), California",2022,9.1%,"67,110",20%,15%,4%,200%,37%,63%,6.7%,"10,230",67%,33%,West,Pacific,Western
616,CA,"Congressional District 16 (118th Congress), California",2023,10.7%,"79,960",24%,17%,6%,200%,41%,60%,7.6%,"12,340",69%,31%,West,Pacific,Western
617,CA,"Congressional District 17 (116th Congress), California",2019,7.5%,"59,520",11%,11%,6%,200%,35%,65%,4.4%,"6,910",62%,38%,West,Pacific,Western
617,CA,"Congressional District 17, California",2020,6.2%,"47,890",16%,12%,4%,200%,48%,52%,3.1%,"5,020",96%,4%,West,Pacific,Western
617,CA,"Congressional District 17, California",2021,8.0%,"61,750",16%,10%,4%,200%,33%,67%,4.7%,"7,210",67%,33%,West,Pacific,Western
617,CA,"Congressional District 17 (118th Congress), California",2022,9.6%,"70,750",21%,15%,7%,200%,36%,64%,7.6%,"10,600",59%,42%,West,Pacific,Western
617,CA,"Congressional District 17 (118th Congress), California",2023,10.4%,"77,400",24%,17%,8%,200%,37%,64%,10.1%,"13,630",46%,54%,West,Pacific,Western
618,CA,"Congressional District 18 (116th Congress), California",2019,6.6%,"49,910",13%,12%,4%,200%,37%,63%,1.6%,"2,770",100%,0%,West,Pacific,Western
618,CA,"Congressional District 18, California",2020,5.5%,"41,110",16%,13%,2%,200%,52%,48%,0.7%,"1,140",100%,0%,West,Pacific,Western
618,CA,"Congressional District 18, California",2021,7.1%,"51,370",16%,10%,2%,200%,31%,69%,2.7%,"4,170",86%,14%,West,Pacific,Western
618,CA,"Congressional District 18 (118th Congress), California",2022,12.3%,"90,020",20%,17%,7%,200%,62%,38%,15.8%,"28,120",68%,32%,West,Pacific,Western
618,CA,"Congressional District 18 (118th Congress), California",2023,13.4%,"99,730",22%,18%,8%,200%,67%,33%,15.6%,"28,630",68%,32%,West,Pacific,Western
619,CA,"Congressional District 19 (116th Congress), California",2019,7.6%,"56,050",12%,12%,5%,200%,62%,38%,8.0%,"13,030",62%,38%,West,Pacific,Western
619,CA,"Congressional District 19, California",2020,6.3%,"47,530",12%,13%,3%,200%,72%,28%,7.0%,"12,010",82%,18%,West,Pacific,Western
619,CA,"Congressional District 19, California",2021,8.1%,"58,700",12%,10%,3%,200%,48%,53%,9.5%,"14,920",59%,41%,West,Pacific,Western
619,CA,"Congressional District 19 (118th Congress), California",2022,10.0%,"74,490",17%,16%,7%,200%,44%,56%,10.3%,"15,020",58%,43%,West,Pacific,Western
619,CA,"Congressional District 19 (118th Congress), California",2023,11.3%,"82,060",20%,17%,8%,200%,47%,53%,12.4%,"16,520",55%,46%,West,Pacific,Western
620,CA,"Congressional District 20 (116th Congress), California",2019,9.6%,"71,250",16%,14%,7%,200%,82%,18%,13.7%,"24,590",83%,17%,West,Pacific,Western
620,CA,"Congressional District 20, California",2020,7.8%,"57,830",16%,15%,5%,200%,85%,15%,12.5%,"22,320",86%,14%,West,Pacific,Western
620,CA,"Congressional District 20, California",2021,9.0%,"67,500",13%,12%,6%,200%,61%,39%,11.6%,"20,740",68%,33%,West,Pacific,Western
620,CA,"Congressional District 20 (118th Congress), California",2022,11.8%,"93,260",19%,18%,9%,200%,55%,46%,15.9%,"32,870",59%,41%,West,Pacific,Western
620,CA,"Congressional District 20 (118th Congress), California",2023,13.2%,"104,970",23%,20%,10%,200%,62%,39%,16.6%,"35,400",60%,40%,West,Pacific,Western
621,CA,"Congressional District 21 (116th Congress), California",2019,14.8%,"107,670",26%,18%,11%,200%,100%,0%,23.9%,"53,220",93%,7%,West,Pacific,Western
621,CA,"Congressional District 21, California",2020,13.5%,"96,570",25%,19%,9%,200%,96%,4%,22.2%,"48,130",96%,4%,West,Pacific,Western
621,CA,"Congressional District 21, California",2021,14.5%,"104,060",25%,16%,9%,200%,76%,24%,20.8%,"45,180",82%,18%,West,Pacific,Western
621,CA,"Congressional District 21 (118th Congress), California",2022,17.9%,"134,330",31%,24%,13%,200%,74%,26%,24.8%,"54,520",75%,25%,West,Pacific,Western
621,CA,"Congressional District 21 (118th Congress), California",2023,19.3%,"144,600",31%,26%,13%,200%,86%,14%,24.1%,"51,730",84%,16%,West,Pacific,Western
622,CA,"Congressional District 22 (116th Congress), California",2019,11.4%,"87,630",20%,17%,8%,200%,83%,17%,17.2%,"38,060",72%,28%,West,Pacific,Western
622,CA,"Congressional District 22, California",2020,10.6%,"81,650",19%,18%,6%,200%,82%,18%,16.5%,"36,240",78%,22%,West,Pacific,Western
622,CA,"Congressional District 22, California",2021,11.3%,"91,220",18%,15%,7%,200%,67%,33%,15.1%,"33,800",72%,28%,West,Pacific,Western
622,CA,"Congressional District 22 (118th Congress), California",2022,18.5%,"143,630",34%,23%,14%,200%,77%,23%,25.3%,"58,470",80%,20%,West,Pacific,Western
622,CA,"Congressional District 22 (118th Congress), California",2023,20.4%,"158,260",35%,24%,15%,200%,90%,10%,24.9%,"58,040",86%,14%,West,Pacific,Western
623,CA,"Congressional District 23 (116th Congress), California",2019,12.7%,"94,050",23%,16%,10%,200%,76%,24%,19.5%,"37,890",69%,32%,West,Pacific,Western
623,CA,"Congressional District 23, California",2020,12.1%,"90,830",23%,17%,8%,200%,78%,22%,18.0%,"36,560",74%,26%,West,Pacific,Western
623,CA,"Congressional District 23, California",2021,11.6%,"89,320",22%,15%,9%,200%,67%,33%,16.5%,"34,800",71%,29%,West,Pacific,Western
623,CA,"Congressional District 23 (118th Congress), California",2022,15.1%,"114,040",29%,21%,11%,200%,66%,34%,22.1%,"45,110",69%,31%,West,Pacific,Western
623,CA,"Congressional District 23 (118th Congress), California",2023,16.1%,"123,660",32%,23%,12%,200%,71%,29%,22.6%,"43,350",69%,31%,West,Pacific,Western
624,CA,"Congressional District 24 (116th Congress), California",2019,10.3%,"75,950",20%,14%,8%,200%,66%,34%,11.8%,"17,470",67%,33%,West,Pacific,Western
624,CA,"Congressional District 24, California",2020,8.0%,"58,650",17%,15%,6%,200%,82%,18%,11.0%,"16,520",81%,19%,West,Pacific,Western
624,CA,"Congressional District 24, California",2021,10.8%,"80,030",19%,13%,7%,200%,59%,41%,13.6%,"20,430",66%,34%,West,Pacific,Western
624,CA,"Congressional District 24 (118th Congress), California",2022,12.2%,"91,580",23%,18%,10%,200%,58%,42%,15.1%,"21,910",67%,33%,West,Pacific,Western
624,CA,"Congressional District 24 (118th Congress), California",2023,14.4%,"109,640",25%,20%,10%,200%,61%,39%,18.0%,"26,990",63%,37%,West,Pacific,Western
625,CA,"Congressional District 25 (116th Congress), California",2019,7.7%,"55,620",21%,14%,6%,200%,76%,24%,12.4%,"22,780",61%,39%,West,Pacific,Western
625,CA,"Congressional District 25, California",2020,7.8%,"55,110",21%,15%,4%,200%,76%,24%,12.3%,"22,740",75%,26%,West,Pacific,Western
625,CA,"Congressional District 25, California",2021,8.2%,"60,590",20%,12%,5%,200%,55%,45%,11.9%,"21,550",62%,39%,West,Pacific,Western
625,CA,"Congressional District 25 (118th Congress), California",2022,14.7%,"113,660",23%,22%,11%,200%,65%,35%,20.3%,"38,920",66%,34%,West,Pacific,Western
625,CA,"Congressional District 25 (118th Congress), California",2023,14.9%,"116,320",24%,23%,12%,200%,85%,15%,18.2%,"35,610",78%,22%,West,Pacific,Western
626,CA,"Congressional District 26 (116th Congress), California",2019,7.7%,"55,890",9%,13%,6%,200%,72%,28%,10.8%,"18,080",73%,27%,West,Pacific,Western
626,CA,"Congressional District 26, California",2020,6.8%,"49,500",14%,14%,4%,200%,78%,22%,10.1%,"17,080",80%,20%,West,Pacific,Western
626,CA,"Congressional District 26, California",2021,8.7%,"62,310",13%,12%,5%,200%,53%,47%,11.4%,"18,940",61%,39%,West,Pacific,Western
626,CA,"Congressional District 26 (118th Congress), California",2022,10.7%,"81,020",16%,17%,6%,200%,50%,50%,13.8%,"23,320",58%,42%,West,Pacific,Western
626,CA,"Congressional District 26 (118th Congress), California",2023,11.8%,"87,480",21%,18%,7%,200%,56%,44%,13.8%,"22,680",59%,41%,West,Pacific,Western
627,CA,"Congressional District 27 (116th Congress), California",2019,8.9%,"63,160",15%,13%,7%,200%,61%,39%,8.8%,"11,630",65%,35%,West,Pacific,Western
627,CA,"Congressional District 27, California",2020,8.3%,"59,060",15%,14%,5%,200%,72%,28%,9.6%,"13,070",77%,23%,West,Pacific,Western
627,CA,"Congressional District 27, California",2021,10.4%,"71,630",14%,11%,5%,200%,54%,46%,11.8%,"15,210",60%,40%,West,Pacific,Western
627,CA,"Congressional District 27 (118th Congress), California",2022,11.0%,"81,040",23%,17%,8%,200%,51%,49%,16.4%,"28,950",54%,46%,West,Pacific,Western
627,CA,"Congressional District 27 (118th Congress), California",2023,12.4%,"91,360",24%,18%,8%,200%,60%,40%,16.1%,"29,740",59%,41%,West,Pacific,Western
628,CA,"Congressional District 28 (116th Congress), California",2019,13.7%,"94,830",18%,16%,12%,200%,60%,40%,13.8%,"14,760",62%,38%,West,Pacific,Western
628,CA,"Congressional District 28, California",2020,12.3%,"87,780",22%,16%,10%,200%,68%,32%,12.8%,"14,080",68%,32%,West,Pacific,Western
628,CA,"Congressional District 28, California",2021,14.2%,"98,940",22%,14%,11%,200%,54%,46%,15.1%,"16,780",56%,44%,West,Pacific,Western
628,CA,"Congressional District 28 (118th Congress), California",2022,11.7%,"84,060",19%,16%,7%,200%,50%,50%,13.9%,"19,210",57%,43%,West,Pacific,Western
628,CA,"Congressional District 28 (118th Congress), California",2023,12.2%,"91,340",21%,18%,9%,200%,54%,46%,13.7%,"19,640",56%,44%,West,Pacific,Western
629,CA,"Congressional District 29 (116th Congress), California",2019,11.3%,"81,050",19%,16%,12%,200%,94%,6%,16.6%,"26,940",79%,21%,West,Pacific,Western
629,CA,"Congressional District 29, California",2020,10.4%,"74,590",21%,17%,10%,200%,93%,7%,16.7%,"27,320",87%,13%,West,Pacific,Western
629,CA,"Congressional District 29, California",2021,13.4%,"92,680",21%,14%,11%,200%,67%,33%,17.8%,"27,130",67%,33%,West,Pacific,Western
629,CA,"Congressional District 29 (118th Congress), California",2022,16.8%,"122,620",28%,20%,13%,200%,69%,31%,23.3%,"35,080",73%,27%,West,Pacific,Western
629,CA,"Congressional District 29 (118th Congress), California",2023,17.3%,"124,160",31%,22%,14%,200%,76%,24%,22.0%,"34,030",75%,25%,West,Pacific,Western
630,CA,"Congressional District 30 (116th Congress), California",2019,9.9%,"75,290",14%,14%,8%,200%,56%,44%,11.2%,"16,060",57%,43%,West,Pacific,Western
630,CA,"Congressional District 30, California",2020,9.1%,"70,200",17%,15%,6%,200%,65%,35%,10.7%,"16,400",65%,36%,West,Pacific,Western
630,CA,"Congressional District 30, California",2021,11.8%,"90,170",17%,12%,7%,200%,53%,47%,13.4%,"20,400",62%,38%,West,Pacific,Western
630,CA,"Congressional District 30 (118th Congress), California",2022,15.1%,"110,450",27%,20%,13%,200%,57%,43%,18.5%,"19,600",62%,38%,West,Pacific,Western
630,CA,"Congressional District 30 (118th Congress), California",2023,16.6%,"123,540",30%,21%,14%,200%,60%,40%,20.2%,"21,640",64%,36%,West,Pacific,Western
631,CA,"Congressional District 31 (116th Congress), California",2019,9.1%,"68,330",20%,15%,8%,200%,87%,13%,15.1%,"28,000",70%,30%,West,Pacific,Western
631,CA,"Congressional District 31, California",2020,9.3%,"70,170",20%,16%,6%,200%,81%,19%,16.2%,"31,240",75%,25%,West,Pacific,Western
631,CA,"Congressional District 31, California",2021,9.1%,"68,720",19%,13%,7%,200%,64%,37%,13.7%,"26,510",68%,33%,West,Pacific,Western
631,CA,"Congressional District 31 (118th Congress), California",2022,12.6%,"92,320",18%,18%,9%,200%,60%,40%,17.5%,"27,480",66%,34%,West,Pacific,Western
631,CA,"Congressional District 31 (118th Congress), California",2023,13.7%,"98,400",21%,19%,11%,200%,65%,35%,17.0%,"25,930",66%,34%,West,Pacific,Western
632,CA,"Congressional District 32 (116th Congress), California",2019,9.1%,"63,490",14%,13%,8%,200%,87%,13%,13.9%,"20,410",73%,27%,West,Pacific,Western
632,CA,"Congressional District 32, California",2020,7.6%,"53,690",15%,14%,6%,200%,87%,13%,13.0%,"19,930",82%,18%,West,Pacific,Western
632,CA,"Congressional District 32, California",2021,9.2%,"63,700",14%,12%,7%,200%,65%,35%,13.3%,"19,970",68%,32%,West,Pacific,Western
632,CA,"Congressional District 32 (118th Congress), California",2022,11.9%,"92,960",22%,18%,9%,200%,45%,55%,13.0%,"19,190",52%,48%,West,Pacific,Western
632,CA,"Congressional District 32 (118th Congress), California",2023,13.3%,"100,810",25%,19%,10%,200%,52%,48%,15.4%,"21,560",51%,49%,West,Pacific,Western
633,CA,"Congressional District 33 (116th Congress), California",2019,9.6%,"67,620",16%,12%,6%,200%,36%,64%,6.2%,"8,170",43%,57%,West,Pacific,Western
633,CA,"Congressional District 33, California",2020,8.1%,"57,360",19%,13%,5%,200%,49%,51%,5.0%,"6,700",66%,34%,West,Pacific,Western
633,CA,"Congressional District 33, California",2021,10.4%,"71,330",20%,11%,5%,200%,41%,59%,7.7%,"9,330",58%,42%,West,Pacific,Western
633,CA,"Congressional District 33 (118th Congress), California",2022,12.3%,"95,480",22%,18%,9%,200%,59%,41%,18.6%,"36,000",64%,36%,West,Pacific,Western
633,CA,"Congressional District 33 (118th Congress), California",2023,14.1%,"107,390",25%,19%,10%,200%,76%,25%,17.5%,"36,180",74%,26%,West,Pacific,Western
634,CA,"Congressional District 34 (116th Congress), California",2019,15.9%,"115,870",29%,18%,12%,200%,87%,13%,21.1%,"29,580",82%,18%,West,Pacific,Western
634,CA,"Congressional District 34, California",2020,14.3%,"105,280",30%,19%,10%,200%,92%,8%,20.7%,"29,830",94%,6%,West,Pacific,Western
634,CA,"Congressional District 34, California",2021,16.8%,"117,010",31%,16%,11%,200%,71%,29%,21.4%,"26,570",78%,22%,West,Pacific,Western
634,CA,"Congressional District 34 (118th Congress), California",2022,18.5%,"137,870",36%,23%,13%,200%,76%,24%,25.3%,"35,710",84%,16%,West,Pacific,Western
634,CA,"Congressional District 34 (118th Congress), California",2023,20.0%,"142,940",37%,25%,14%,200%,81%,19%,23.9%,"31,550",81%,19%,West,Pacific,Western
635,CA,"Congressional District 35 (116th Congress), California",2019,7.8%,"59,690",15%,14%,9%,200%,100%,0%,13.4%,"26,380",74%,26%,West,Pacific,Western
635,CA,"Congressional District 35, California",2020,7.9%,"59,450",18%,15%,6%,200%,94%,6%,15.0%,"29,240",83%,17%,West,Pacific,Western
635,CA,"Congressional District 35, California",2021,9.0%,"66,960",17%,12%,7%,200%,62%,38%,13.5%,"26,240",63%,37%,West,Pacific,Western
635,CA,"Congressional District 35 (118th Congress), California",2022,12.3%,"94,500",23%,17%,10%,200%,61%,39%,16.7%,"32,070",68%,32%,West,Pacific,Western
635,CA,"Congressional District 35 (118th Congress), California",2023,13.4%,"100,730",25%,18%,10%,200%,67%,33%,16.5%,"29,610",65%,35%,West,Pacific,Western
636,CA,"Congressional District 36 (116th Congress), California",2019,12.1%,"91,300",23%,17%,10%,200%,84%,17%,19.4%,"29,740",70%,30%,West,Pacific,Western
636,CA,"Congressional District 36, California",2020,11.7%,"88,100",22%,18%,8%,200%,85%,15%,19.3%,"31,470",80%,20%,West,Pacific,Western
636,CA,"Congressional District 36, California",2021,11.8%,"90,030",20%,15%,8%,200%,67%,33%,18.8%,"30,270",71%,29%,West,Pacific,Western
636,CA,"Congressional District 36 (118th Congress), California",2022,11.4%,"83,190",25%,17%,8%,200%,38%,62%,10.6%,"12,480",37%,63%,West,Pacific,Western
636,CA,"Congressional District 36 (118th Congress), California",2023,12.4%,"92,100",28%,18%,9%,200%,39%,61%,11.7%,"14,930",43%,57%,West,Pacific,Western
637,CA,"Congressional District 37 (116th Congress), California",2019,11.6%,"84,910",19%,16%,9%,200%,73%,27%,16.1%,"22,070",63%,37%,West,Pacific,Western
637,CA,"Congressional District 37, California",2020,11.1%,"80,810",20%,17%,7%,200%,78%,22%,17.9%,"24,300",73%,27%,West,Pacific,Western
637,CA,"Congressional District 37, California",2021,13.3%,"93,060",20%,14%,8%,200%,59%,41%,19.7%,"26,390",63%,37%,West,Pacific,Western
637,CA,"Congressional District 37 (118th Congress), California",2022,17.2%,"127,700",26%,22%,11%,200%,71%,29%,27.7%,"44,290",78%,22%,West,Pacific,Western
637,CA,"Congressional District 37 (118th Congress), California",2023,18.6%,"137,010",28%,24%,12%,200%,78%,23%,26.3%,"39,770",80%,20%,West,Pacific,Western
638,CA,"Congressional District 38 (116th Congress), California",2019,6.8%,"48,230",14%,13%,7%,200%,89%,11%,11.1%,"16,740",67%,34%,West,Pacific,Western
638,CA,"Congressional District 38, California",2020,6.3%,"44,270",15%,14%,5%,200%,88%,12%,11.0%,"17,200",78%,22%,West,Pacific,Western
638,CA,"Congressional District 38, California",2021,8.2%,"56,750",14%,11%,6%,200%,57%,43%,11.1%,"17,220",61%,39%,West,Pacific,Western
638,CA,"Congressional District 38 (118th Congress), California",2022,11.2%,"80,430",15%,16%,8%,200%,50%,50%,13.6%,"19,670",54%,47%,West,Pacific,Western
638,CA,"Congressional District 38 (118th Congress), California",2023,12.0%,"86,880",19%,17%,9%,200%,65%,35%,13.5%,"20,780",65%,35%,West,Pacific,Western
639,CA,"Congressional District 39 (116th Congress), California",2019,7.7%,"55,320",13%,12%,6%,200%,62%,38%,10.0%,"15,030",65%,35%,West,Pacific,Western
639,CA,"Congressional District 39, California",2020,6.5%,"47,470",14%,13%,4%,200%,70%,30%,8.3%,"13,360",79%,21%,West,Pacific,Western
639,CA,"Congressional District 39, California",2021,9.2%,"66,860",11%,11%,4%,200%,49%,51%,10.9%,"16,120",61%,40%,West,Pacific,Western
639,CA,"Congressional District 39 (118th Congress), California",2022,12.0%,"92,660",20%,17%,9%,200%,59%,42%,17.0%,"32,070",61%,39%,West,Pacific,Western
639,CA,"Congressional District 39 (118th Congress), California",2023,13.5%,"103,540",22%,18%,10%,200%,71%,30%,17.0%,"32,220",68%,33%,West,Pacific,Western
640,CA,"Congressional District 40 (116th Congress), California",2019,12.2%,"87,100",23%,17%,11%,200%,100%,0%,19.1%,"38,820",89%,11%,West,Pacific,Western
